page,text,type,finder,confidence,human_label
1,MANYHANDSONEVISION,ORG,gliner+propagate,0.9,
2,motilal InvestmentBanking,ORG,gliner,0.5282824039459229,
2,HAHBFOHNATI H,PERSON,gliner,0.6730855107307434,
3,Price Band,ORG,gliner,0.6620272397994995,
3,Price Band,ORG,gliner,0.6264958381652832,
3,Price Band,ORG,gliner,0.6871430277824402,
3,MANYHANDSONEVISION,ORG,gliner,0.775109589099884,
4,motilal InvestmentBanking,ORG,gliner,0.6620628833770752,
6,Subsidiaries,ORG,gliner,0.5074626803398132,
6,Associate,ORG,gliner+propagate,0.9,
6,Associate,ORG,gliner+propagate,0.9,
6,Associate,ORG,gliner,0.7069841027259827,
82,Behing Ankur Bus Stop,ADDRESS,gliner,0.5855522155761719,
82,"B Wing, 15th Floor",ADDRESS,gliner,0.5033831000328064,
83,Sayani Road,ADDRESS,gliner,0.6058345437049866,
85,Broker Centres,ORG,gliner,0.545717179775238,
86,Anil N. Shah & Co.,ORG,gliner,0.6070006489753723,
86,Ashram Road,ADDRESS,gliner,0.6852105259895325,
86,"Vivan Square, Jodhpur Cross Road",ADDRESS,gliner,0.6595418453216553,
87,Division of Issues and Listing,ORG,gliner,0.598657488822937,
88,Book Building,ORG,gliner,0.6010870933532715,
88,Collecting Depository Participants,ORG,gliner,0.5986018776893616,
88,Non-Institutional Investors,ORG,gliner,0.5306355953216553,
